,Unnamed: 0,Unnamed: 0.1,web-scraper-order,web-scraper-start-url,url,url-href,post_name,story,amount_donated,amount_goal,donatedby_pplcount,likes,shares,location,post_created_on,img,numb_of_likes,numb_of_shares,doners,sentiment,story_length,goal,percentage,success,life_of_post,image_labels
10,10,10,1543888880-33677,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Help Gail and Gene Rebuild!
                        Help Gail and Gene Rebuild!",https://www.gofundme.com/3t6wcnk,Help Gail and Gene Rebuild!,"The Northern California wildfires have devastated entire communities, and unfortunately they did not spare Gail and Gene Graser's home of 20+ years.  Thank goodness they are safe, as they were able to evacuate in the middle of the night with their dog and a car and the clothes on their backs.  The rebuilding of their lives will be a long and painful process.  As of now they will be staying with Kerry and Lynn in Novato.  They will eventually get insurance money, but let's build them a little nest egg to make this horrible situation a little better in the meantime.  They will need to buy all new wardrobes, and just the basic everyday essentials!

 I have been friends with Kerry forever and I have known these two for 25 years - they are like family to me - let's show them how much we love and support them, as they have done so much for others all of their lives.  We love you Gene and Gail!

Love Ali Provines Hendrickson
Park City, Utah (Northern California native)",5405,10000,56,56,224,"PARK CITY, UT"," October 9, 2017",https://d2g8igdw686xgo.cloudfront.net/20533300_1507594982.1034.jpg,56,224,56,0.9819,976,10000,0.5405,0,0,"['product', 'event', 'glasses', 'fun', 'smile', 'recreation', 'crowd']"
11,11,11,1543889268-33835,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Southern California Wildfire Relief
                        Southern California Wildfire Relief",https://www.gofundme.com/southern-california-wildfire-relief,Southern California Wildfire Relief,"Throughout the past week, raging wildfires have been hitting the Los Angeles area and this is causing many evacuations and people loosing TONS of money because of the raging wildfires. The fire has jumped over freeways and is spreading at this moment. The fires have been burning since Monday.

The fire in Ventura County has destroyed over 150 structures it is over 65,000 acers. Wild winds blowing west from the Mojave Desert are not cooperating in containing the fires. The fire has hit the Pacific Ocean as well. 

The fires are now only a small portion contained. PLEASE DONATE!! All of this money will go to relief funds in the Ventura and Los Angeles county. Thank you so much for donating, this will be much appreicated!!",0,1000,0,,,"SAN RAFAEL, CA"," December 6, 2017",https://d2g8igdw686xgo.cloudfront.net/25968498_1512607477.6073.png,0,0,0,-0.8241,729,1000,0.0,0,0,"['wildfire', 'fire', 'explosion', 'sky', 'night', 'disaster', 'explosive material', 'evening', 'bonfire']"
12,12,12,1543889050-33747,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Fire in Paradise
                        Fire in Paradise",https://www.gofundme.com/fire-in-paradise,Fire in Paradise,My son Tony(Robert) and his partner Aine have most likely lost their home and surrounding property in the Paradise California wildfire today. It is their first home and they have been there for less than a year. They have 2 dogs and 2 cats and a chicken. They were very fortunate  to evacuate in time. Although they have insurance we all know that it will not be nearly enough to restore what has been lost and to get by until the insurance pays. Any amount would be greatly appreciated. They are devastated and in shock and expenses are probably the last thing on their minds. Thank you,4881,5000,77,75,262,"SEATTLE, WA"," November 8, 2018",https://d2g8igdw686xgo.cloudfront.net/34351750_1541721623249509_r.jpeg,75,262,77,0.6032,587,5000,0.9762,0,0,"['hair', 'facial hair', 'photography', 'selfie', 'smile', 'fun', 'beard', 'happiness', 'product']"
13,13,13,1543889112-33773,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"RainforestFlora Nursery & Home Fire
                        RainforestFlora Nursery & Home Fire",https://www.gofundme.com/lilacnursery,RainforestFlora Nursery & Home Fire,"My name is Kimberly Isley, I am from Southern California, and my family, along with many other families in Southern California, have been tragically affected in the wildfires. We have spent over 40 years building a nursery and growing irreplaceable plants that can take decades to mature for sale. These plants supported many families as Rainforest Flora employs over 30 people. Our nursery was located at the epicenter of the Lilac fire, on West Lilac Road. The homes on the property, occupied by the caretakers of the nursery, are a complete loss along with greenhouses filled with valuable plants we are trying to salvage. 
    These families have children to provide for and have been left with nothing. 
    Please help our families rebuild. I started this campaign to help my family support the caretaker's,  and begin the processof rebuilding their home. Donations from this campaign will go directly towards the caretakers' family and getting them a new home to live in. We appreciate all your help, and send our thoughts and prayers to all victims of the devastating California wildfires.
** Some information on our relationship to the caretakers family—
—1. My dad and I are not related to our caregivers, they are his long time employees and friends.
2. My father will be withdrawing the funds. He is the owner of the property and the employees’ landlord.
3. He will do this in his name to distribute and use the funds raised to best benefit the families getting back on their feet as quickly as possible (getting a new home and giving them direct funds for things lost in the fire).",32385,35000,182,188,481,"BONSALL, CA"," December 8, 2017",https://d2g8igdw686xgo.cloudfront.net/26030326_1512788540.4505.jpg,188,481,182,0.3322,1594,35000,0.925285714,0,0,"['tree', 'wood', 'village', 'scrap', 'landscape', 'rubble']"
14,14,14,1543889125-33779,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"California Woolsey Wildfire Relief
                        California Woolsey Wildfire Relief",https://www.gofundme.com/woolsey-wildfire-relief-campaign,California Woolsey Wildfire Relief,"The Woolsey Fire started on November 8th and has continued to spread throughout Thousand Oaks, Calabasas, and Malibu areas. The fire has destroyed at least 483 structures, and damaged 86 others. It has burned over 97,620 acres, killing 48 people and there are still 80-90 people missing. This fire has moved so fast and displaced so many families from their homes. We are raising money to go directly to the California Community Foundation's Wildfire Relief fund which supports those who have lost their homes. The Wildfire Relief Fund supports those who were displaced or lost housing, belongings and/or employment, or suffered physical or mental health problems; helps to rebuild homes; provide case management services, basic needs assistance, mental health services and financial assistance. The Wildfire Relief Fund provides continual help for those affected by California wildfires. As students at the University of Utah, we want to help those in need and raise money for a good cause. Please donate! Any amount can help these people in need!!",267,50000,12,13,23,"NORTHRIDGE, CA"," November 14, 2018",https://d2g8igdw686xgo.cloudfront.net/34528306_1542232010220580_r.jpeg,13,23,12,-0.6093,1049,50000,0.00534,0,0,"['fire', 'wildfire', 'firefighter', 'geological phenomenon', 'fireman', 'smoke', 'tree', 'forest', 'sky']"
15,15,15,1543888691-33617,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Shifflet employees
                        Shifflet employees",https://www.gofundme.com/shifflet-employees,Shifflet employees,"The California wildfires have claimed the homes of three employees with our very own Shifflet Brothers.  James Ellis, Robert Seal and Rick Stredwick have lost their homes and three others including Raymond Jorgensen, Howard Gerfen and Michael Sullivan have been evacuated and are at risk for losing their homes as well.  The impact financially can be devastating and insurance can't always provide for every expense.  Please donate whatever you can to help these employees.",4251,1500,22,23,52,"HELENA, MT"," November 14, 2018",https://d2g8igdw686xgo.cloudfront.net/34516058_1542207771713911_r.jpeg,23,52,22,-0.6369,473,1500,2.8339999999999996,1,0,"['sky', 'geological phenomenon', 'atmosphere', 'red sky at morning', 'wildfire', 'sunrise', 'dawn', 'morning', 'afterglow', 'evening']"
16,16,16,1543889096-33766,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Send Wildfire Survivors for Climate Action to DC
                        Send Wildfire Survivors for Climate Action to DC",https://www.gofundme.com/send-wildfire-survivors-to-climate-change-townhall,Send Wildfire Survivors for Climate Action to DC,"In a week we've assembled an INCREDIBLE grassroots coalition of 7 Paradise Wildfire Survivors for Climate Action to go to the National Town Hall on the Climate Crisis  on 12/3 in Washington D.C. (hosted by Bernie Sanders and Ocasio-Cortez ), and to meet with legislators while in D.C. (including Senator Bernie Sanders, Representative Nancy Pelosi, climate leader Bill McKibben, and more to talk about climate change and to announce a Climate Action Town Hall they plan to host in 2019 back in Butte County for their community.

Even in the midst of great personal loss, these survivors feel compelled to make this trip to speak out about the impact of climate change and to advocate for solutions.  Now we just need to raise the funds to help get them to D.C..  

WHO WE WILL SEND:

CHELSEA WEST, CASSIE LEROSSIGNOL & JEFFREY ROACH: 
Three Feather River Hospital Nurses - all three worked in the emergency department at the Hospital in Paradise, helped evacuate 67 patients in an hour, but then quickly ended up trapped by the flames- all called their loved ones to say goodbye, rescued only when a firefighter bulldozer appeared from the smoke and cleared an escape path. Their narrow escape was captured in dramatic police body-cam video now featured on CNN Anderson Cooper 360 , ABC , NBC  and more.

SUSAN DOBRA:
Susan is a writer and teacher at California State University, Chico. She lived with her partner of 18 years in Paradise, California, where they sang together, grew organic vegetables, hosted a weekly open mic, and participated in a range of community service orgs until the wildfires of Nov 8th ripped through town and burned their home to the ground. She and her partner narrowly escaped the flames.

MATT PLOTKIN:
Matt was a youth pastor in Paradise for several years and is now the acting chair of the Butte County Camp Fire Long Term Recovery Group. Over 52,000 people have been displaced by these wildfires. 

AUDREY DENNEY 
Audrey is an educator and farmer and was the Democratic challenger of Rep. Doug LaMalfa (CA-01) in 2018.  CA-01 encompasses the 11 counties in the northeast corner of California (including Paradise) and is a historic conservative stronghold.  Audrey is working on disaster response and long term recovery for the Camp Fire which devastated the county where she lives. She will be helping our coalition of wildfire survivors navigate various meetings with representatives in DC:  https://www.audreyforcongress.com

BRIAN SOLECKI:
Audrey Denney’s campaign manager, Chico Police Chaplain, and former Chico Pastor. 

ABOUT THE WILD FIRES:
There have been over 88 confirmed casualties, with hundreds still missing, over 18,000 homes destroyed, and over 52,000 Climate Refugees displaced, with threats of mudslides and ongoing health challenges with noravirus outbreaks in the temporary shelters for wildfire survivors. Since the 1980s, climate change has doubled the area of forest in the U.S. considered vulnerable to fire—and research shows this will only grow.
 https://psmag.com/news/climate-change-does-contribute-debunking-trumps-california-wildfire-claims
 https://motherboard.vice.com/en_us/article/ev3x5e/california-wildfires-have-created-climate-refugees-in-a-walmart-parking-lot


WHO WE WILL MEET:
In just 3 days since organizing this group and committing to go, our group was able to schedule meetings with:

Senators: Bernie Sanders (VT) and chief of staff for Brian Schatz (HI)

Congressional Representatives including Nancy Pelosi (CA-12), Thompson (CA-5), Swalwell (CA-15), Khanna (CA-17), Garamendi (CA-3), and Blumenauer (OR-3)

Environmentalist Bill McKibben (350.org), leaders of the Sunrise Movement (Green New Deal), and Founders of Land Core USA 

ABOUT BERNIE'S  TOWN HALL ON THE CLIMATE CRISIS:
U.S. Sen. Bernie Sanders (I-Vt.) will host a national town hall on Monday, Dec. 3, aimed at addressing the global threat of climate change and exploring solutions that can protect the planet from devastation and create tens of millions of good-paying jobs.

Sanders will be joined by 350.org founder and author Bill McKibben; actress, activist and Our Revolution board member Shailene Woodley; CNN host and author Van Jones; Congresswoman-Elect Alexandria Ocasio-Cortez (D-NY); Earth Guardians Youth Director Xiuhtezcatl Martinez; Union of Concerned Scientists Director of Climate Science Dr. Brenda Ekwurzel; Dale Ross, mayor of Georgetown, Texas; Dr. Camilla Bausch, CEO of Ecologic Institute; and other environmental experts and activists. 

TO WATCH ONLINE: Go to  www.facebook.com/senatorsanders at 7 PM ET on December 3rd.

More event details:  https://www.facebook.com/events/326982228114064/?notif_t=plan_user_invited&notif_id=1542742813879160

......................

WHAT FUNDS RAISED WILL COVER:
We're raising funds to help subsidize basic travel costs (primarily flights) to help send this coalition of 7 wildfire survivors from Sacramento to Washington D.C. Flights cost about $600 per person.  *We have secured donated housing for everyone - thank you!*

Any funds raised that exceed final travel costs will be donated to NGOs supporting survivors of the fires. If we fall short of our goal, we will subsidize travel costs as much as we can.  
 
-------

TO WATCH TOWN HALL ONLINE: Go to  www.facebook.com/senatorsanders at 7 PM ET on December 3rd. Please SPREAD THE WORD.

THANK YOU for supporting this campaign in any way and PLEASE SHARE WITH FRIENDS",1196,4200,22,22,40,"LOS ANGELES, CA"," November 20, 2018",https://d2g8igdw686xgo.cloudfront.net/34684456_1543430416795104_r.jpeg,22,40,22,0.9865,5431,4200,0.284761905,0,0,"['text', 'human behavior', 'history', 'advertising', 'brand']"
17,17,17,1543888842-33663,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Watkins Wellness Camp Fire Relief Fundraiser
                        Watkins Wellness Camp Fire Relief Fundraiser",https://www.gofundme.com/watkins-wellness-camp-fire-relief-fundraiser,Watkins Wellness Camp Fire Relief Fundraiser,"I'm Aimee Soto, Brand Manager Aquatic Fitness for Watkins Wellness and I'm seeking support for the victims of the Camp Fire.

The Camp Fire that engulfed the town of Paradise, CA and surrounding areas on November 8, 2018 has been called the largest and most destructive/deadly wildfire in California history. My own family has been affected. My cousin, her husband and young daughter thankfully escaped safely, but they lost their home. Their story, and that of thousands of working-class families in this area are what is driving my passion for this cause. I know my friends, family and colleagues here at Watkins feel the same!

After all, At Watkins Wellness the Watkins Way drives us all to value our relationships with each other. Many Watkins families have been affected by California wildfires and as the Watkins family, we want to help!

Watkins is raising funds to support the North Valley Community Foundation's Camp Fire Relief Fund.  https://www.nvcf.org/. This is a local organization in Chico, CA who is committed to supporting those specifically affected by this tragedy.  99% of proceeds they collect will go directly to the victims. With thousands displaced, they need our support.  

Masco employees are eligible for employee contribution matching for all donations from $25 to $5,000. To learn more about this program visit  https://bit.ly/2OQdjjU

Thank you for your support!

Aimee Soto
Brand Manager, Aquatic Fitness
Watkins Wellness",3790,10000,27,25,3,"VISTA, CA"," November 16, 2018",https://d2g8igdw686xgo.cloudfront.net/34601500_1542406846923144_r.jpeg,25,3,27,0.9896,1455,10000,0.379,0,0,"['fog', 'morning', 'sky', 'tree', 'winter', 'haze', 'mist']"
18,18,18,1543888468-33513,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Assistance for fire victims
                        Assistance for fire victims",https://www.gofundme.com/wx5est-assistance-for-fire-victims,Assistance for fire victims,California wildfire financial assistance for victims whose home has been affected at this time,0,15000,0,,,"RAPID CITY, SD"," November 13, 2018",https://d2g8igdw686xgo.cloudfront.net/34479628_1542116889581619_r.jpeg,0,0,0,-0.4404,94,15000,0.0,0,0,"['text', 'advertising', 'font', 'banner', 'heat', 'brand']"
19,19,19,1543888669-33607,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"2018 Recovery
                        2018 Recovery",https://www.gofundme.com/2018-recovery,2018 Recovery,"As much as I didn't want to do this, this morning several people came forward out of concern for my family today and recommended that I proceed. 2018 has been a good year for my business, but due to material and work losses from the recent California wildfires and the finalizing of my divorce this year,  my savings are completely depleted. This, in combination with my daughters' school now being closed for most of November, is making the next month looking to be very challenging. Any funds raised here will be used to replenish lost food supplies destroyed by the power outages caused by the fires, as well as rent and expenses to get my family through this time until work picks up again. The Stern family is enormously grateful to have made it through the recent California tragedies without greater losses and so very thankful for any help that might be provided. God bless and best wishes for a wonderful recovery for all who have been affected by the recent disasters all over America.",140,10000,2,2,7,"CALABASAS, CA"," November 13, 2018",https://d2g8igdw686xgo.cloudfront.net/34492522_1542140849621506_r.jpeg,2,7,2,0.9268,995,10000,0.013999999999999999,0,0,"['dog', 'dog breed', 'dog breed group', 'dog like mammal', 'companion dog', 'fun']"
20,20,20,1543889075-33756,https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=california%20wildfire,"Rebuilding After Camp Fire
                        Rebuilding After Camp Fire",https://www.gofundme.com/6dwvus8,Rebuilding After Camp Fire,"The Camp Fire is now known to be the  deadliest and most destructive fire in California’s history. The fire consumed 80 football fields A MINUTE at one point. It leveled an entire town causing unbelievable destruction. My cousin, Connie Parker built her life in that town 7 years ago. Now what was once her home is a charred lot.  Connie is a self-employed seamstress who works from home. As you can imagine, this is an astronomical loss. Not only of her home, but of her business, her livelihood, as well. Connie is resilient and optimistic but the realities of life are that she will need to rebuild from the ashes. She now has to figure out how to survive until insurance issues are settled and she can get back to making a living. If you know Connie then you know that she has always been there to help in any way she could even if it’s just a positive word.  In this most difficult time I’d like to come together to help ease her mind of some of the financial burdens. All the help is greatly appreciated.  All the positive thoughts and prayers are always welcome too. 
Thank you

 https://www.kcra.com/article/camp-fire-death-toll-rises/25186701


 https://www-m.cnn.com/2018/11/10/us/california-wildfires-camp-woolsey-hill/index.html#|gigyaMobileDialog


 https://www.bing.com/amp/s/www.sfchronicle.com/california-wildfires/amp/Camp-Fire-Paradise-before-and-after-photos-13378605.php",1585,2000,26,27,139,"PARADISE, CA"," November 10, 2018",https://d2g8igdw686xgo.cloudfront.net/34410862_1542425722192183_r.jpg,27,139,26,0.9865,1390,2000,0.7925,0,0,"['tree', 'winter', 'branch', 'snow', 'geological phenomenon', 'woodland', 'land lot', 'landscape', 'frost', 'autumn']"
